;[u'Glen and Glenda', u'The Marriage Circle', u'Padma Nadir Majhi', u'The Virgin Soldiers', u'The Hours and Times', u'Face/Off', u'Ulysses', u'The Oklahoma Kid', u'Queenie, the Star of Calcutta', u'', u'A Touch of Class', u'Cosi', u"A Hard Day's Night", u'Royal Flash', u'Fabula de la Bella Palomera', u'Stop Train 349', u'RU:', u'The Apple Dumpling Gang Rides Again', u'The Loves of Don Juan', u'Le Grand Blond avec une Chaussure Noire', u'Desperate Remedies', u'Fly Away Home']
Hardy Kruger;[u'The Wild Geese', u'War and Remembrance', u'Hatari!', u'A Bridge Too Far', u'TZ:Wrong is Right', u'The Flight of the Phoenix', u'Barry Lyndon']
Suzanne Somers;[u'TZ:Nothing Personal', u'American Graffiti', u'Serial Mom', u'Magnum Force']
Vonetta McGee;[u'Repo Man', u'To Sleep with Anger', u'TZ:The Eiger Sanction', u'TZ:Shaft in Africa', u'Blacula']
Rob Roy;[u'Short Time']
Avis Bunnage;[u'The Loneliness of the Long-distance Runner']
Ed Begley jr.;[u'TZ:Stay Hungry', u'Even Cowgirls get the Blues', u'Protocol', u"Goin' South", u'Greedy', u'Roman Holiday', u'TZ:Blue Collar', u'This is Spinal Tap', u'TZ:A Shining Season']
Gregory Gaye;[u'Charlie Chan at the Opera', u'Dodsworth']
Estelle Jewell;[u'Shadow of a Doubt']
John Slater;[u'Passport to Pimlico']
Ann Prentiss;[u'California Split', u'Any Wednesday']
Rena Mandel;[u'Vampyr']
Jean-Louis Trintigant;[u'Z']
Miliza Korjus;[u'The Great Waltz']
Ronald Lacy;[u'Raiders of the Lost Ark']
Roger Hill;[u'The Warriors']
Clift Robertson;[u'Escape from L.A..']
Nancy Carrol;[u'The Man I Killed', u'Honey']
Derek Thompson;[u'TZ:The Long Good Friday']
Edward Herrman;[u'Frank Lloyd Wright', u'Saint Maybe']
Doug Davidson;[u'L.A. Johns']
Lola Allbright;[u'The Impossible Years', u'The Black Curtain']
Vibeke Lokkeberg;[u'De Gudene er Dode']
Denis Lavant;[u'Mauvais Sang']
Lois Mran;[u'The Spider']
James Roberton Justice;[u"Some Will, Some Won't"]
Jack Elam;[u'Cattle Queen of Montana', u'TZ:Support Your Local Sheriff', u'Norseman', u'Jinxed', u'Artists and Models', u'The Cannonball Run', u'Tarzan Hidden Jungle', u'TZ:Creature from Black Lake', u'Lure of The Wilderness', u'TZ:Hot Lead and Cold Feet', u'Once Upon A Time in the West', u'The Apple Dumpling Gang Rides Again']
Julie Kavner;[u'This is my Life', u'Awakenings', u'A Walk on the Moon', u'Radio Days', u'Shadows and Fog']
Edward Everettt Horton;[u'Arsenic and Old Lace']
Bobby Hunt;[u'Blue Ice']
Billy Wells;[u'The Ring']
Maximilan Schell;[u'Vampires']
William V. Mong;[u'The Last Days of Pompeii']
A.J. Sparxx;[u'The Chameleons']
Nigel deBrulier;[u'Charlie Chan in Egypt', u'The Three Musketeers']
Kim Catrall;[u'Tribute', u'Police Academy']
Sho Kosugi;[u'TZ:Revenge of the Ninja']
Gordon Harker;[u'Escape', u'The Ring', u"The Farmer's Wife", u'Champagne', u'Elstree Calling', u'Friday the Thirteenth', u'Rome Express']
James Hayter;[u'A Challenge for Robin Hood', u'The Blue Lagoon', u'The Thirty-nine Steps', u'The Crimson Pirate']
Andrea Marcovicci;[u'Someone to Love', u'Spacehunter "Adventures in the Forbidden Zone"', u'The Front']
Bob Ebbett;[u'Quick Change']
Jack Warner;[u'Hue and Cry', u'TZ:Dominique is Dead', u'Now and Forever', u'It Always Rains on Sunday', u'The Ladykillers', u'The Quatermass Experiment', u'Jigsaw']
Michael Raffetto;[u'TZ:Seven Doors to Death']
Judith Barrett;[u'Road to Singapore']
Roman Corbett;[u'Fierce Creatures']
George Butler;[u'In the Blood']
Charles Ray;[u'Hollywood Boulevard', u'The Clodhopper']
Jim xxx;[u'Silk Stockings']
Sven-Bertil Taube;[u'Jerusalem']
Johanne terSteege;[u'Vincent and Theo']
Robert Evans;[u'The Fiend Who Walked the West', u'Man of a Thousand Faces']
Brid Brennan;[u'Dancing at Lughnasa']
John Cheung;[u'Dragon: The Bruce Lee Story']
Canmpell Scott;[u'Longtime Companion']
Brenda Sykes;[u'The Skin Game', u'Mandingo']
Steve Gerat;[u'Gilda']
Gabrielle Rose;[u'The Sweet Hereafter']
Kenan Thompson;[u'Heavyweights']
Ken Lerner;[u'The Toymaker', u'Unlawful Entry']
Barry G. Harvey;[u'Arthur']
Forrest J. Ackerman;[u'Dracula vs. Frankenstein', u'Hollywood Boulevard']
Anne Twomey;[u'Picture Perfect']
Jason Masur;[u'White Squall']
Toyah Willcox;[u'TZ:Jubilee']
Jessica James;[u'Spring Break']
Fred Emney;[u'Those Magnificent Men in Their Flying Machines']
Valerie Quinnessen;[u'TZ:Summer Lovers']
Michael E;[u'TZ:The Black Train']
Pauline Lord;[u'Mrs. Wiggs of the Cabbage Patch']
